municipio_id,stat_date,type_establecimiento,count,seats
99,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
100,"Sat, 01 Jan 2011 00:00:00",Hotel,13,587
100,"Sat, 01 Jan 2011 00:00:00",Camping,1,600
100,"Sat, 01 Jan 2011 00:00:00",TurismoRural,32,222
100,"Sat, 01 Jan 2011 00:00:00",Apartamento,11,153
101,"Sat, 01 Jan 2011 00:00:00",Hotel,5,295
101,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
102,"Sat, 01 Jan 2011 00:00:00",Hotel,1,24
104,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
105,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,24
106,"Sat, 01 Jan 2011 00:00:00",Hotel,1,10
106,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
106,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,9
108,"Sat, 01 Jan 2011 00:00:00",Camping,1,60
108,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
109,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
110,"Sat, 01 Jan 2011 00:00:00",Hotel,1,12
111,"Sat, 01 Jan 2011 00:00:00",Hotel,8,520
111,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,11
111,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,6
114,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
115,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
116,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,11
117,"Sat, 01 Jan 2011 00:00:00",Hotel,1,8
118,"Sat, 01 Jan 2011 00:00:00",Hotel,5,105
118,"Sat, 01 Jan 2011 00:00:00",TurismoRural,18,165
118,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,28
119,"Sat, 01 Jan 2011 00:00:00",Hotel,1,18
120,"Sat, 01 Jan 2011 00:00:00",Hotel,1,26
120,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
122,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,17
123,"Sat, 01 Jan 2011 00:00:00",Hotel,1,24
124,"Sat, 01 Jan 2011 00:00:00",Hotel,4,61
124,"Sat, 01 Jan 2011 00:00:00",Camping,1,108
124,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,9
125,"Sat, 01 Jan 2011 00:00:00",Hotel,25,1775
125,"Sat, 01 Jan 2011 00:00:00",Camping,3,1258
125,"Sat, 01 Jan 2011 00:00:00",TurismoRural,10,94
125,"Sat, 01 Jan 2011 00:00:00",Apartamento,14,452
126,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
127,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
128,"Sat, 01 Jan 2011 00:00:00",Hotel,1,10
129,"Sat, 01 Jan 2011 00:00:00",Hotel,1,16
130,"Sat, 01 Jan 2011 00:00:00",Hotel,1,32
131,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
132,"Sat, 01 Jan 2011 00:00:00",Hotel,11,492
132,"Sat, 01 Jan 2011 00:00:00",Camping,3,1286
132,"Sat, 01 Jan 2011 00:00:00",TurismoRural,11,65
132,"Sat, 01 Jan 2011 00:00:00",Apartamento,9,214
133,"Sat, 01 Jan 2011 00:00:00",Hotel,7,250
133,"Sat, 01 Jan 2011 00:00:00",Camping,2,695
133,"Sat, 01 Jan 2011 00:00:00",TurismoRural,6,64
133,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,5
134,"Sat, 01 Jan 2011 00:00:00",Hotel,11,409
134,"Sat, 01 Jan 2011 00:00:00",Camping,1,674
134,"Sat, 01 Jan 2011 00:00:00",TurismoRural,13,99
134,"Sat, 01 Jan 2011 00:00:00",Apartamento,8,161
135,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,13
136,"Sat, 01 Jan 2011 00:00:00",Hotel,1,6
137,"Sat, 01 Jan 2011 00:00:00",Hotel,3,134
139,"Sat, 01 Jan 2011 00:00:00",TurismoRural,6,46
139,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,12
140,"Sat, 01 Jan 2011 00:00:00",TurismoRural,7,56
142,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
143,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
145,"Sat, 01 Jan 2011 00:00:00",Hotel,3,442
145,"Sat, 01 Jan 2011 00:00:00",Camping,2,1170
145,"Sat, 01 Jan 2011 00:00:00",TurismoRural,17,134
