municipio_id,stat_date,poblacion
3,"Sun, 01 Jan 1950 00:00:00",539
3,"Fri, 01 Jan 1960 00:00:00",426
3,"Thu, 01 Jan 1970 00:00:00",465
3,"Thu, 01 Jan 1981 00:00:00",357
4,"Mon, 01 Jan 1900 00:00:00",463
4,"Tue, 01 Jan 1991 00:00:00",129
4,"Mon, 01 Jan 2001 00:00:00",133
4,"Thu, 01 Jan 2004 00:00:00",131
4,"Fri, 31 Dec 1909 23:00:00",472
4,"Wed, 31 Dec 1919 23:00:00",446
4,"Tue, 31 Dec 1929 23:00:00",437
4,"Sun, 31 Dec 1939 23:00:00",402
4,"Sun, 01 Jan 1950 00:00:00",387
4,"Fri, 01 Jan 1960 00:00:00",305
4,"Thu, 01 Jan 1970 00:00:00",195
4,"Thu, 01 Jan 1981 00:00:00",134
5,"Mon, 01 Jan 1900 00:00:00",745
5,"Tue, 01 Jan 1991 00:00:00",325
5,"Mon, 01 Jan 2001 00:00:00",259
5,"Thu, 01 Jan 2004 00:00:00",236
5,"Fri, 31 Dec 1909 23:00:00",756
5,"Wed, 31 Dec 1919 23:00:00",798
5,"Tue, 31 Dec 1929 23:00:00",676
5,"Sun, 31 Dec 1939 23:00:00",690
5,"Sun, 01 Jan 1950 00:00:00",726
5,"Fri, 01 Jan 1960 00:00:00",615
5,"Thu, 01 Jan 1970 00:00:00",502
5,"Thu, 01 Jan 1981 00:00:00",432
6,"Mon, 01 Jan 1900 00:00:00",725
6,"Tue, 01 Jan 1991 00:00:00",174
6,"Mon, 01 Jan 2001 00:00:00",159
6,"Thu, 01 Jan 2004 00:00:00",163
6,"Fri, 31 Dec 1909 23:00:00",631
6,"Wed, 31 Dec 1919 23:00:00",647
6,"Tue, 31 Dec 1929 23:00:00",545
6,"Sun, 31 Dec 1939 23:00:00",513
6,"Sun, 01 Jan 1950 00:00:00",423
6,"Fri, 01 Jan 1960 00:00:00",332
6,"Thu, 01 Jan 1970 00:00:00",258
6,"Thu, 01 Jan 1981 00:00:00",183
7,"Mon, 01 Jan 1900 00:00:00",2275
7,"Tue, 01 Jan 1991 00:00:00",759
7,"Mon, 01 Jan 2001 00:00:00",751
7,"Thu, 01 Jan 2004 00:00:00",776
7,"Fri, 31 Dec 1909 23:00:00",2271
7,"Wed, 31 Dec 1919 23:00:00",2264
7,"Tue, 31 Dec 1929 23:00:00",1885
7,"Sun, 31 Dec 1939 23:00:00",1765
7,"Sun, 01 Jan 1950 00:00:00",1698
7,"Fri, 01 Jan 1960 00:00:00",1365
7,"Thu, 01 Jan 1970 00:00:00",1106
7,"Thu, 01 Jan 1981 00:00:00",894
8,"Mon, 01 Jan 1900 00:00:00",181
8,"Tue, 01 Jan 1991 00:00:00",32
8,"Mon, 01 Jan 2001 00:00:00",26
8,"Thu, 01 Jan 2004 00:00:00",24
8,"Fri, 31 Dec 1909 23:00:00",185
8,"Wed, 31 Dec 1919 23:00:00",179
8,"Tue, 31 Dec 1929 23:00:00",194
8,"Sun, 31 Dec 1939 23:00:00",139
8,"Sun, 01 Jan 1950 00:00:00",153
8,"Fri, 01 Jan 1960 00:00:00",129
8,"Thu, 01 Jan 1970 00:00:00",73
8,"Thu, 01 Jan 1981 00:00:00",50
9,"Mon, 01 Jan 1900 00:00:00",1781
9,"Tue, 01 Jan 1991 00:00:00",618
9,"Mon, 01 Jan 2001 00:00:00",658
9,"Thu, 01 Jan 2004 00:00:00",670
9,"Fri, 31 Dec 1909 23:00:00",1793
9,"Wed, 31 Dec 1919 23:00:00",1761
9,"Tue, 31 Dec 1929 23:00:00",1863
