id,name,area,country,major,men,women,ine,comunidad,comarca
609,Tardienta,90.6,Spain,"ABADIA PELEATO, Mª LUZ",571,512,22226,Aragón,Los Monegros
610,Tauste,405.2,Spain,"FRANCES CARBONEL, MIGUEL ANGEL",3643,3604,50252,Aragón,Cinco Villas
611,Tella-Sin,90.3,Spain,"SESE CAZCARRA, FELICIANO",137,127,22227,Aragón,Sobrarbe
612,Terrer,33.8,Spain,"ESCOLANO SERRANO, TOMAS JOSE",278,290,50253,Aragón,Comunidad de Calatayud
613,Terriente,48.0,Spain,VICTORIANO JORDÁN CODES,101,73,44215,Aragón,Sierra de Albarracín
614,Teruel,440.4,Spain,"BLASCO MARQUÉS, MANUEL",15620,16684,44216,Aragón,Comunidad de Teruel
615,Tierga,66.1,Spain,"GRAVALOS RUBIO, JESÚS GABRIEL",128,99,50254,Aragón,Aranda
616,Tierz,6.5,Spain,"ALFARO SANTAFE, JESUS",84,90,22228,Aragón,Hoya de Huesca/Plana de Uesca
617,Tobed,37.9,Spain,"SANCHEZ QUERO, JUAN ANTONIO",127,124,50255,Aragón,Comunidad de Calatayud
618,Tolva,59.0,Spain,"PENA SUBIRA, MARIA LOURDES",95,87,22229,Aragón,La Ribagorza
619,Toril y Masegoso,30.7,Spain,"DALDA BORJA, JAVIER",15,11,44217,Aragón,Sierra de Albarracín
620,Torla,185.2,Spain,"VILLACAMPA OLIVAN, MIGUEL",168,148,22230,Aragón,Sobrarbe
621,Tormón,29.3,Spain,"ARCHILAGA VALERO, FAUSTINO",20,17,44218,Aragón,Comunidad de Teruel
622,Tornos,49.0,Spain,"DOMINGUEZ TRAID, SANTIAGO",126,115,44219,Aragón,Jiloca
623,Torralba de Aragón,40.4,Spain,"BAYOD CALVO, ANTONIO",59,59,22232,Aragón,Los Monegros
624,Torralba de Ribota,32.5,Spain,"PUERTAS CANTERIA, ALFONSO",107,89,50257,Aragón,Comunidad de Calatayud
625,Torralba de los Frailes,59.2,Spain,"GALVEZ BARRA, JOSE CARLOS",45,46,50256,Aragón,Campo de Daroca
626,Torralba de los Sisones,44.8,Spain,"PIQUER MELENDEZ, JOSE MARIA",123,108,44220,Aragón,Jiloca
627,Torralbilla,25.9,Spain,"NAVARRO SIERRA, MARGARITA",37,35,50258,Aragón,Campo de Daroca
628,Torre de Arcas,34.3,Spain,"GINER AMELA, LUIS ANGEL",50,53,44223,Aragón,Matarraña/Matarranya
629,Torre de las Arcas,37.2,Spain,"GAMARRA CHOPO, MARÍA TERESA",19,13,44224,Aragón,Cuencas Mineras
630,Torre del Compte,19.5,Spain,"BERGOS MACHIN, ANTONIO",85,88,44225,Aragón,Matarraña/Matarranya
631,Torre la Ribera,32.1,Spain,"FRANCH AVENTIN, JOSE",64,55,22233,Aragón,La Ribagorza
632,Torre los Negros,29.2,Spain,"GARCÉS MIGUEL, JUAN JOSÉ",45,45,44227,Aragón,Jiloca
633,Torrecilla de Alcañiz,26.8,Spain,"LORENZO ALQUEZAR, JOAQUÍN",242,205,44221,Aragón,Bajo Aragón
634,Torrecilla del Rebollar,63.4,Spain,"BURRIEL LUCA, CARLOS MIGUEL",92,94,44222,Aragón,Jiloca
635,Torrehermosa,21.1,Spain,"GARCIA ALONSO, PASCUAL",56,51,50259,Aragón,Comunidad de Calatayud
636,Torrelacárcel,35.5,Spain,"SORIANO HERNANDEZ, PASCUAL",138,127,44226,Aragón,Comunidad de Teruel
637,Torrelapaja,15.7,Spain,"RUBIO OLIVEROS, TOMAS",20,17,50260,Aragón,Comunidad de Calatayud
638,Torrellas,2.5,Spain,"PEREZ LAPUENTE, Mª PILAR",163,144,50261,Aragón,Tarazona y el Moncayo
639,Torremocha de Jiloca,33.9,Spain,FELICIANO GUILLEN LOPEZ,79,75,44228,Aragón,Comunidad de Teruel
640,Torrente de Cinca,56.8,Spain,"CABISTAÑ CUCHI, JOSE EVARISTO",502,499,22234,Aragón,Bajo Cinca/Baix Cinca
641,Torres de Albarracín,28.3,Spain,"MARTI MUÑOZ, JOSE ANTONIO",85,70,44229,Aragón,Sierra de Albarracín
642,Torres de Alcanadre,17.6,Spain,"SABATE ENCUENTRA, ROBERTO ANGEL GUILLERMO",75,53,22235,Aragón,Somontano de Barbastro
643,Torres de Barbués,13.9,Spain,"RUFAS ACIN, CELSA ANA",163,173,22236,Aragón,Los Monegros
644,Torres de Berrellén,53.8,Spain,"TREBOL BARTOS, MERCEDES",730,699,50262,Aragón,Ribera Alta del Ebro
645,Torrevelilla,33.4,Spain,"MARTIN SILVESTRE, CARLOS EUGENIO",101,106,44230,Aragón,Bajo Aragón
646,Torrijas,57.3,Spain,JOAQUIN DURBAN LOPEZ,45,49,44231,Aragón,Gúdar-Javalambre
647,Torrijo de la Cañada,74.6,Spain,"PACHECO LAFUENTE, JUAN DOMINGO",182,152,50263,Aragón,Comunidad de Calatayud
648,Torrijo del Campo,44.0,Spain,"PLUMED MALO, RICARDO",288,280,44232,Aragón,Jiloca
649,Tosos,68.6,Spain,"ANSON GOMEZ, JOSE LUIS",110,100,50264,Aragón,Campo de Cariñena
650,Tramacastiel,47.3,Spain,"ALEGRE MONTERDE, SEBASTIAN",60,52,44234,Aragón,Comunidad de Teruel
651,Tramacastilla,24.8,Spain,JOSE MIGUEL DELGADO ALMAZAN,63,65,44235,Aragón,Sierra de Albarracín
652,Tramaced,15.4,Spain,"CASTEL PANZANO, DIEGO PABLO",57,42,22239,Aragón,Hoya de Huesca/Plana de Uesca
653,Trasmoz,18.3,Spain,"MOLINER CEBOLLADA, JAVIER",34,31,50265,Aragón,Tarazona y el Moncayo
654,Trasobares,71.8,Spain,"AZNAR IBAÑEZ, MILAGROS",106,87,50266,Aragón,Aranda
655,Tronchón,57.1,Spain,"MOLINA MATEO, JOSÉ MANUEL",58,48,44236,Aragón,Maestrazgo
656,Uncastillo,230.9,Spain,JOSE LUIS FELIPE EDUARDO ABENIA PARDOS,434,441,50267,Aragón,Cinco Villas
657,Undués de Lerda,43.0,Spain,"ARBONIES MOLINER, JUAN",34,23,50268,Aragón,Cinco Villas
658,Urrea de Gaén,41.1,Spain,"TOMAS TOMAS, ANGEL DANIEL",288,292,44237,Aragón,Bajo Martín
659,Urrea de Jalón,25.6,Spain,"LAZARO DOMINGUEZ, MARIA CARMEN",179,168,50269,Aragón,Valdejalón
660,Urriés,37.3,Spain,"ARBONIES PEREZ, ROBERTO",39,25,50270,Aragón,Cinco Villas
661,Used,85.3,Spain,"SANCHEZ PEREZ, Mª CARMEN",187,153,50271,Aragón,Campo de Daroca
662,Utebo,17.7,Spain,"DALMAU BLANCO, MIGUEL",6393,6207,50272,Aragón,D.C. Zaragoza
663,Utrillas,39.8,Spain,"VILAR MIRALLES, JOSE FRANCISCO",1658,1534,44238,Aragón,Cuencas Mineras
664,Val de San Martín,25.7,Spain,"SEBASTIAN BELLO, JOSE LUIS",42,43,50274,Aragón,Campo de Daroca
665,Valacloche,15.0,Spain,"RABANETE MORENO, Mª CARMEN",12,8,44239,Aragón,Comunidad de Teruel
666,Valbona,40.7,Spain,"SANZ HERRERO, VICTOR",105,97,44240,Aragón,Gúdar-Javalambre
667,Valdealgorfa,46.9,Spain,"GIMENO CUELLA, Mª REYES",354,367,44241,Aragón,Bajo Aragón
668,Valdecuenca,18.6,Spain,"MARCO BENEDICTO, ARTURO",21,17,44243,Aragón,Sierra de Albarracín
669,Valdehorna,7.9,Spain,"LAVILLA MARTIN, BENJAMIN",27,26,50273,Aragón,Campo de Daroca
670,Valdelinares,55.1,Spain,DAVIR BENAGES GARGALLO,74,58,44244,Aragón,Gúdar-Javalambre
671,Valdeltormo,16.0,Spain,"TIMONEDA PUYO, JOSÉ MIGUEL",195,172,44245,Aragón,Matarraña/Matarranya
672,Valderrobres,124.0,Spain,"BONÉ AMELA, CARLOS LUIS",1074,944,44246,Aragón,Matarraña/Matarranya
673,Valfarta,33.2,Spain,"LABRADOR USON, ALBERTO",56,42,22242,Aragón,Los Monegros
674,Valjunquera,41.8,Spain,"BRENCHAT GIL, ISMAEL",219,209,44247,Aragón,Matarraña/Matarranya
675,Valle de Bardají,45.5,Spain,"RASO CASTILLON, JOSE MARIA",29,25,22243,Aragón,La Ribagorza
676,Valle de Hecho,234.4,Spain,"GUTIERREZ LARRIPA, LUIS",513,481,22901,Aragón,La Jacetania
677,Valle de Lierp,32.8,Spain,"ARIÑO CASTEL, JOSE MARIA",27,24,22244,Aragón,La Ribagorza
678,Vallecillo (El),21.6,Spain,"GIMENEZ SORIANO, PASCUAL",32,23,44249,Aragón,Sierra de Albarracín
679,Valmadrid,50.6,Spain,"LOPEZ ARNAL, ALFREDO",63,38,50275,Aragón,Campo de Belchite
680,Valpalmas,39.8,Spain,"LAFUENTE DIESTE, JOSE",84,85,50276,Aragón,Cinco Villas
681,Valtorres,3.3,Spain,"GARCIA FLOREZ, FRANCISCO JAVIER",47,54,50277,Aragón,Comunidad de Calatayud
682,Veguillas de la Sierra,13.7,Spain,"GOMEZ JIMENEZ, ILDEFONSO",17,10,44250,Aragón,Comunidad de Teruel
683,Velilla de Cinca,16.5,Spain,MARIA BELEN IBARZ IBARZ,223,223,22245,Aragón,Bajo Cinca/Baix Cinca
684,Velilla de Ebro,59.8,Spain,"GOMEZ PUYOLES, Mª ROSARIO",121,128,50278,Aragón,Ribera Baja del Ebro
685,Velilla de Jiloca,10.4,Spain,"RUIZ LOPEZ, Mª ANGELES",59,58,50279,Aragón,Comunidad de Calatayud
686,Vencillón,10.4,Spain,"CAPEL VITALES, RAMON",247,219,22909,Aragón,La Litera/La Llitera
687,Vera de Moncayo,27.7,Spain,"SANCHEZ RIERA, Mª ANGELES",233,215,50280,Aragón,Tarazona y el Moncayo
688,Veracruz,,Spain,,58,51,,Aragón,
689,Viacamp y Litera,107.7,Spain,"POCIELLO COLOMINA, ALFREDO",18,10,22247,Aragón,La Ribagorza
690,Vicién,13.8,Spain,"BRETOS BOLEA, ALFREDO",65,55,22248,Aragón,Hoya de Huesca/Plana de Uesca
691,Vierlas,2.7,Spain,"RESANO LAHERA, PEDRO J.",51,52,50281,Aragón,Tarazona y el Moncayo
692,Villadoz,17.2,Spain,"GIMENEZ SANTOLARIA, Mª ASCENSION",44,35,50283,Aragón,Campo de Daroca
693,Villafeliche,22.5,Spain,"CARO ESTEBAN, AGUSTIN",121,114,50284,Aragón,Comunidad de Calatayud
694,Villafranca de Ebro,63.6,Spain,"GONZALEZ ANSON, ROBERTO",331,341,50285,Aragón,D.C. Zaragoza
695,Villafranca del Campo,66.5,Spain,"NAVARRO ANDRES, MIGUEL ANGEL",193,178,44251,Aragón,Jiloca
696,Villahermosa del Campo,19.2,Spain,"RAMO APARICIO, JOSE ANTONIO",45,42,44252,Aragón,Jiloca
697,Villalba de Perejil,13.3,Spain,"CONDON GORMAZ, EDUARDO",61,54,50286,Aragón,Comunidad de Calatayud
698,Villalengua,40.2,Spain,"VILLAR LECHON, ANA ISABEL",208,194,50287,Aragón,Comunidad de Calatayud
699,Villamayor de Gállego,89.4,Spain,"MONTERO LOSTAO, JOSE LUIS",0,0,50903,Aragón,D.C. Zaragoza
700,Villanova,6.9,Spain,"PLAZA LOMILLOS, MIGUEL ANGEL",66,68,22249,Aragón,La Ribagorza
701,Villanueva de Gállego,76.0,Spain,"GAYAN CARCELLER, JESUS",1758,1730,50288,Aragón,D.C. Zaragoza
702,Villanueva de Huerva,78.4,Spain,"GOMEZ FAURE, FELIPE",308,277,50290,Aragón,Campo de Cariñena
703,Villanueva de Jiloca,7.3,Spain,"BLASCO LAFUENTE, ROSARIO",50,43,50289,Aragón,Campo de Daroca
704,Villanueva de Sigena,146.4,Spain,"SALILLAS LACASA, ILDEFONSO",261,269,22251,Aragón,Los Monegros
705,Villanueva del Rebollar de la Sierra,19.0,Spain,"ASCOZ JULIAN, FRANCISCO JAVIER",28,23,44256,Aragón,Cuencas Mineras
706,Villanúa,58.2,Spain,"TERREN SANCLEMENTE, LUIS",186,159,22250,Aragón,La Jacetania
707,Villar de los Navarros,49.5,Spain,"PRAT LUCIA, JOSE LUIS",66,74,50291,Aragón,Campo de Daroca
708,Villar del Cobo,54.1,Spain,"PEREZ VALERO, FRANCISCO",112,106,44257,Aragón,Sierra de Albarracín
709,Villar del Salz,38.7,Spain,"BORAO ISARRIA, ASCENSION",61,47,44258,Aragón,Jiloca
710,Villarluengo,159.9,Spain,"DOMINGO RAMO, JOSE ANTONIO",125,88,44260,Aragón,Maestrazgo
711,Villarquemado,56.4,Spain,"SERRANO PARICIO, FEDERICO",479,449,44261,Aragón,Comunidad de Teruel
712,Villarreal de Huerva,27.1,Spain,JOSE VALERO MARTIN,107,82,50292,Aragón,Campo de Daroca
713,Villarroya de la Sierra,91.6,Spain,"TORRUBIA ACON, EUGENIO",327,305,50293,Aragón,Comunidad de Calatayud
714,Villarroya de los Pinares,66.4,Spain,ARTURO MARTÍN CALVO,103,90,44262,Aragón,Maestrazgo
715,Villarroya del Campo,16.9,Spain,"FRANCO SEDILES, JOSE CARLOS",39,39,50294,Aragón,Campo de Daroca
716,Villastar,39.0,Spain,MARIA LUISA ROMERO FUERTES,175,163,44263,Aragón,Comunidad de Teruel
717,Villel,85.4,Spain,JUAN JOSE RODERO PRIETO,191,156,44264,Aragón,Comunidad de Teruel
718,Vilueña (La),8.6,Spain,"TOMEY TOMEY, CARMELO JOSE",48,63,50282,Aragón,Comunidad de Calatayud
719,Vinaceite,50.1,Spain,"BIELSA CLEMENTE, ALFREDO",143,139,44265,Aragón,Bajo Martín
720,Visiedo,48.9,Spain,PEDRO ANDRES ARANDIA FERNANDEZ,87,102,44266,Aragón,Comunidad de Teruel
721,Vistabella,21.8,Spain,"SERRANO ANDRES, Mª ANGELES",20,15,50295,Aragón,Campo de Cariñena
722,Vivel del Río Martín,51.2,Spain,"GALVE DOMINGO, SERGIO",44,40,44267,Aragón,Cuencas Mineras
723,Yebra de Basa,90.9,Spain,"AVELLANA MURO, ERNESTO",98,70,22252,Aragón,Alto Gállego
724,Yésero,30.2,Spain,"ACIN SANROMAN, MARÍA JESÚS",49,29,22253,Aragón,Alto Gállego
725,Zaida (La),17.3,Spain,"SORIANO CASAMIAN, SALVADOR",284,284,50296,Aragón,Ribera Baja del Ebro
726,Zaidín,92.6,Spain,"IBARZ GUILLEN, MARCO ANTONIO",883,843,22254,Aragón,Bajo Cinca/Baix Cinca
727,Zaragoza,973.7,Spain,"BELLOCH JULVE, JUAN ALBERTO",302059,324022,50297,Aragón,D.C. Zaragoza
728,Zoma (La),14.5,Spain,"MEMBRADO FERRER, JUAN MANUEL",14,14,44268,Aragón,Cuencas Mineras
729,Zuera,332.2,Spain,ANTONIO JESUS BOLEA GABALDON,3005,2830,50298,Aragón,D.C. Zaragoza
730,Épila,194.3,Spain,"LLANAS GASPAR, MARTIN",2130,1920,50099,Aragón,Valdejalón
